CHALLENGE_NUM,CHALLENGE,EVAL_BITS,REP_BITS,BOARD_NUM
0,10100110000100100010111010011110010110010000101001101010111010001101010010011100,6,13,0
1,01100110101101000011111111011010110010001110011001110010111000101100111011001001,6,13,0
2,11100110100100101001111010010100110110010010011100110011111100111100011010011101,6,13,0
3,10100111100111001010011011011010000011101011011001010110110100001100110011010000,6,13,0
4,10100100100111100011101110010000110110010011111001111111110000001111110000011100,6,13,0
5,01100111000101100011110010111010010011100010011101101111111000000010111011011111,6,13,0
6,01110101010101110011110010010110010111100010011000110010110010101110011011010111,6,13,0
7,11100110000111111011011111011010010011011010001101111111110000011111110011001111,6,13,0
8,10100111101101110010010111011110100111010010111101111100111100001000010011000100,6,13,0
9,11100111001111001011111011010100010011110010011100010010111000001100111010011101,6,13,0
10,11100110000111100100100111001000110110110011011100111110111010001111010010000111,6,13,0
11,11100111000101011010110011111110100011010110001000011101111010001111110011011111,6,13,0
12,11100110001101111001100010110110010010100010101000100111111000001110110011010110,6,13,0
13,11100111100011111011101011001000010111110010111011100111111010001100010010011101,6,13,0
14,10100111000101100011111110010000110101101010101010000111111100101101110011000111,6,13,0
15,01111010101011010001111111011001110011101110011010110001000000101000111001001011,6,13,0
16,01111010100010101101011110010000110011100010011110110101111100111100101100000111,6,13,0
17,11110011100011001101011011010000000011101011011011010101100100001010110001000010,6,13,0
18,11011000101111001001000110010001110011110111110010111101100000101111100100011100,6,13,0
19,01010011001011000001110110111001010001100111011110111101111000100010111001010111,6,13,0
20,01010001011001010111010000000100100011100010011010110100110000100010111111000011,6,13,0
21,01110010000011011111010111001001100001101110000110111111100000111010110111001111,6,13,0
22,01010011101011111100010101000000100011110110011110110101100100001000010001000110,6,13,0
23,01100111101011001111111101010100010011100111011110010100101000100010111010100011,6,13,0
24,01110010000011011100000111000000110111110011011110111100101010100110110100000111,6,13,0
25,01100011100011011011010111110001100011110110001110010101001110111110110011011011,6,13,0
26,11111010001011011001000011110100000011100010101010110101111000000010110011010110,6,13,0
27,01110011100011011101101001101000010011100011111010100101101010001000011010001011,6,13,0
28,00100011000011101001110101000000100001101111101010010101101100101000110101000111,6,13,0
29,10001100010100101101011010010100111111110010101100000111111100011110000100010100,6,13,0
30,10000111010110101110001001100010001001100011001101010110110100000110010100010110,6,13,0
31,10001000010110101011000000010101111101010011100100011111100000001111000100010100,6,13,0
32,01000011010100101011110000100100011101100011011100001111111100000010011101010111,6,13,0
33,00010101010000111111010000000100001101100011001110110110110010000011010111110111,6,13,0
34,10000100000110111111010001001110001101110011100100011111100000011111000110000111,6,13,0
35,10000001010011111110010001000100101101110011111100011101100100011000010110010110,6,13,0
36,11000101010111101111101001010100011101110011100100010100101100000110010110110101,6,13,0
37,10100110000011101100000001100100111101110011111100101110101110010111010100000110,6,13,0
38,10000001010011111010000011110100001101110010101100001101001110011111010111010111,6,13,0
39,10000100010111111000000010110110000101100011101100000111111000000111010111110110,6,13,0
40,10100101010010111111101000101100011101110011101110101111101010001000000110010111,6,13,0
41,10000101010000101011110000100100101101100011101110001101101110001101010111100111,6,13,0
42,10110011010111011010000001101011000001101101001011011100000001000010110001010010,6,13,0
43,10010000011111000010000101111001110001011101110011011111000000000011110000011000,6,13,0
44,01010011011101000010100101101011010001100101011001001101001011000010111001010011,6,13,0
45,00010001011001010010010001101111000001101111001011111000000011000011010111100011,6,13,0
46,10100100000111010010010101101011001001011101100011011110000010011011110111001011,6,13,0
47,10010011001011010010000101101011001001010111110111011100000100000000010011100010,6,13,0
48,01100101011111011010101101111101010001100111100111010000001000000010110011110011,6,13,0
49,11100010000011010110000101101001100101110111111101101110101010000011110100000011,6,13,0
50,11100011010011010010000011101011000001111101001011011100000010001011110011011011,6,13,0
51,10110110011111010000000001111111000000100101101010001110001010000011110011110010,6,13,0
52,10100111010011010010100001101001010001110101101011101100001010000000010010001011,6,13,0
53,10100001011001100010110101101001100001101111101010001101001110000001110011100011,6,13,0
54,00011000111100100001100110010101111110010110110100111011000010111111000100111101,6,13,0
55,01010001011000100011110110101101111101110100011100101011111011100011001011011111,6,13,0
56,01011100011000110011110000000100111101110010101110110010010010110011001111101111,6,13,0
57,01101100001000110111110110001101111101011110100100101011100010111011101110101111,6,13,0
58,00010001001001110100110101000100101101010110110100101001001110111000001010101111,6,13,0
59,01101100001101000011101100010100111111110110110110010000001000100001101010101101,6,13,0
60,01101110001001110100100110100100110110110110110100101010101010110111001110100111,6,13,0
61,01101001011001010011100110110101111111010110101100001001001010111111011011111111,6,13,0
62,01111100001101110001100110110100110110100110100100100011011010110111001011110110,6,13,0
63,01101101000000110011101000101100111111110100111110101011001010111001001010101111,6,13,0
64,00101000001000100001110100100101111101111110101110101101001110111001101111100111,6,13,0
65,01100111010001000111110001101110000001100100011100100101111111100010011011000111,6,13,0
66,01110111010000010110010000001110001101100010001010110000111111100010011111100011,6,13,0
67,01100110000001011110011001101110001001101110000110000110100010011010111111000011,6,13,0
68,01100111001001110110010001001110001001110010011110100100111110010000011011100010,6,13,0
69,01100111001011011110111001101100001011100110001110000000101101000000111011100011,6,13,0
70,01100111000011110100000111101100000110110011011100100100101111110000011111000011,6,13,0
71,01100011000001011010110011101110001011101100001110000100011110011000011011001011,6,13,0
72,01100111001001011000010011101110000010100010101010100100111010000000011011110110,6,13,0
73,01100111000011111111101001101100011111100000101011100100101010000000011011101011,6,13,0
74,00100111000000100110111101100100001001101010101110000101101110100000111111100011,6,13,0
75,00111100010000011110010000000100101110101010100010110010010010111111010110100011,6,13,0
76,10101100100010011110011101001010101000011110100110010110000000011111100110101010,6,13,0
77,10110101101011111100011101000110101110010010100110010000000100011100010010100000,6,13,0
78,10101100101111011110101001010100001010110010100110010000000100001101110110100000,6,13,0
79,10101110100011111100000111000000100110110011110110111110100110011101010110100010,6,13,0
80,10101001100011011010000011010110101010011110100010010100000110011101010011111010,6,13,0
81,10111100001111111000000011010110100010100010100010100110000000011101010010110110,6,13,0
82,10101101100010111101001001001000111110110000100011100100000010011100000110101000,6,13,0
83,10101100100000101000011101000000101100111010100010010101001110111101110110100010,6,13,0
84,11101110100111001101011111111011001001011101100101001111100000011111100000001100,6,13,0
85,10100011101111101100001101011010101011010100110101001101101100011000000000000100,6,13,0
86,11100110101111001100101101110000011010010111110101000001001100000100101000111100,6,13,0
87,11101010100011101100100111101000110110010101110101001110101110010101100000000100,6,13,0
88,11100011100111011000100111111011100010011100100101001101001110011101110001011110,6,13,0
89,10101110101111111000100111110010000010000101100000001111001000010100100001010100,6,13,0
90,10100111100011101101101001101001011111010101110011001101001010011100000000001100,6,13,0
91,10101011100011101001111111100001101000011111100110001101101100011101100001000100,6,13,0
92,00010011111001110000000101010100100111010010111101100000011100000000011001110100,6,13,0
93,01100101111111001010101000110100010010100011011110010000001101000000011000110000,6,13,0
94,01101011111011100100100110100000110110110011011100101100111111100101011100110100,6,13,0
95,01000011111001011010100010110101100110110100001000000101011111001101010001011010,6,13,0
96,10011011011101110000100010110100010110100000101000100101011111000100011001110110,6,13,0
97,00100011110011101001101000100000010110100001111011100101001010000000001010111000,6,13,0
98,00001001111000100000100100100000100100101011101010000101001110100101011001110100,6,13,0
99,01101100011110001011101000110100010010101111000110010010001001100111101110111001,6,13,0
100,11101110000010000101100110100001110110101011011100101110101011110111110100000011,6,13,0
101,11101001010011011011100010111111010010101100001000000111011011111111110111011011,6,13,0
102,11111100011100011001100010110111010010100001101000100111011011000111100111110110,6,13,0
103,11101100010010001011101010101001010110100001101011100111001010101111101110011011,6,13,0
104,10101100010000100001111110100001110000101011101010000111101010101111100101100011,6,13,0
105,10111010000011110100000110101001100110010001011101101110110111110111010100000110,6,13,0
106,10000011010001010010000010101011100110011100001001101101010110111111010001011011,6,13,0
107,10011010010001110000000010100011100110000000101000101111010010010111000011010110,6,13,0
108,10111011110000110001000010101001111111010000111011101111000010011000000010001011,6,13,0
109,10011001010000100001010110100001101100001000101010101111111110111101000101000110,6,13,0
110,01000001110101011011110010111111001001001100001010010101010100011001110011011011,6,13,0
111,10011101011100011001110010110110000010000100100010000011011000001000100011111110,6,13,0
112,00010101110000011011101000111011011001000100101011000001001000001000001010111001,6,13,0
113,00000001011100101011111000010111001001101110101010000101001100101001100011100011,6,13,0
114,10011110001100110101001000110110010010100011110000100010111001000010001110110100,6,13,0
115,10111110100010100101101000001000011111100001110011100011101000000000001110100000,6,13,0
116,10011100001000100101111100000000111101101011110010100111101100100000101100100100,6,13,0
117,00100011110010101111101001001001011101110101011011101001001010101000001110001001,6,13,0
118,00100001100000100111111100000001101101111111111111011101101110101001100100000001,6,13,0
119,00001000001100100000010110010111100000101110100110010101111100110111110101100110,6,13,0
0,10100101010100110010111010011110010110010000100001111010011010001111001010011101,20,6,0
1,11100111101101010011111111011010110010011100011001110000011010101100111011001101,20,6,0
2,11100110100101111001111010010110110110010010011000110011111100111100011010011101,20,6,0
3,10100111100111011011011011011010010011111011011001010110111100001110110011010100,20,6,0
4,10101110101101000011100110010000110111010011111001111111111000001111100000011100,20,6,0
5,01000111001101000011110110111010010001100110011101111111111010000110101011010111,20,6,0
6,11010111010100010011010010010110010101100010001010110010110010101111011011011111,20,6,0
7,11100110000111110011110011011010010001011110001101110111111000011111100111001111,20,6,0
8,10000111101101110010110011011110110101010010111101111100111100001100011011001100,20,6,0
9,11100111101111011011111011010100010011110010011100110000101000001100111011011101,20,6,0
10,11100110000111110110100111001000110111110011011101111110111010001111010110000111,20,6,0
11,11100111000101011011110010111110110011111110001000011111011010001111110011011111,20,6,0
12,10100110001101010001100010110110010010100010101000110111111000000110010011010110,20,6,0
13,11100111100011111011101010001100010111110010111001110111011010001100001010011111,20,6,0
14,10100111000101100011111110000000110101111010101010010111111110101111110011000111,20,6,0
15,01110010101011000001111111011001110011101100011010110101100000100000111001001001,20,6,0
16,01101010100011101101011010010100110011100110011110110101111100111100111100000111,20,6,0
17,11110011100011011101011111110000000011101011011010010101111100000010110101000000,20,6,0
18,10011010101011001001000110010001110011110011111010111101100000101111100100011110,20,6,0
19,01010011001011000001110110111001110001100111011100101101111000100010101001010111,20,6,0
20,01010011011000010011010010000100110001100010001110110100110000100010011111000011,20,6,0
21,01110010000011011111010111001011100001101111001110110111100000111010110101001111,20,6,0
22,01010011101011011100010101000000100001110110111110110101100100000000111001000110,20,6,0
23,01100111101111011111111101010100010011100111011110110100101000100000111011100011,20,6,0
24,01110010100011011101000111100000110111110011011110111100101010100110110100000110,20,6,0
25,01100011100011011011010011110001100011111110001110010101001110111110110011011011,20,6,0
26,11010010001011011001000011110000110010100010101010110101111000000110110011010110,20,6,0
27,01100011100011011101101011101000110011100111111010110101101010001000011110001011,20,6,0
28,00000011000011101001111101000000110001101011101010010101101100100010110101000011,20,6,0
29,10001100000000111101001010010100101111010010001100110111111100011100000100010111,20,6,0
30,10010111010111111110001001110010001001100011001101010111111100001110010100010000,20,6,0
31,10011000110100101001000000010101111101010011100100011111101000001111000100010110,20,6,0
32,01010111010000101011110000101101011101100011011100001111111101000110001101010111,20,6,0
33,00010101010000111011010000000100001101100011001110110010110010000111010111110111,20,6,0
34,10000100010110111111010000001010001101110011100100011111101000011111000100000111,20,6,0
35,10000101010011111110010001000100101101010010111100011111100100011000010010010110,20,6,0
36,11000101010110111111101001010100011101100011001110010010101100001101010110110011,20,6,0
37,10100110010011111100000001100100101101110011011100111110101110011111010100000110,20,6,0
38,10000001010011011010000010110100001101110110001100011111011110011111010111010111,20,6,0
39,10010100010111111000000010110110000110100011101100100111111000000110010111110110,20,6,0
40,10000101010010111111101000101100011101110011101101100111001010001010000110011011,20,6,0
41,10000101010000101011100000100100101101100011101110000111101110001111000110100111,20,6,0
42,10110011010111011010000101101011000001101001101011010100000001000010110001010000,20,6,0
43,10011000111111000010000100111001110001111001110011011111000000000011100001011000,20,6,0
44,01010011011011000010110100101011010001101101111101001101001011000010101001010011,20,6,0
45,01010101011000010010010000101110010001101011101010110000000011100011010111100011,20,6,0
46,10110101011111010010010101101011001001101111100111011110000010010011100111001011,20,6,0
47,00010011011011010010110101101011001001010111110111011100000010000001110011100000,20,6,0
48,11100101011111011010101101111100010001100111100110010000001000000011110011100000,20,6,0
49,10110010011011010110000101101001110101110011111101111100101010000011110100000010,20,6,0
50,11100011011011011010100001101011000001111101101110011101001010001011110011011011,20,6,0
51,10010110011111010000000001111011000000100001101010000110001010000011110011110010,20,6,0
52,10100111010011010010100001101001011001100001111001101101001010000010000011011010,20,6,0
53,10000001011001000010100101101000100001101011101011001101001010000011110111100010,20,6,0
54,00011000111000000001100110010101110110010100110110111011000010111111000100111111,20,6,0
55,01011011011000100011110110101101110101000100111100101001111011100011001011011111,20,6,0
56,01011100011000110011110000000100111101100010101110110010010010110011001111101111,20,6,0
57,01101100001100110111110110001111111101010110100110111011100010111011100110101111,20,6,0
58,01001001001001110110110001000100101101010110110110101001000110011001001010101111,20,6,0
59,01101100001100000011111001010100111111110110100110110000001000110001101010101111,20,6,0
60,01101010001001110100100111100100110110110110110100101010101010110111001110100111,20,6,0
61,01101001011001010011100010111101111110010110101110001001001010111101110011011111,20,6,0
62,01011100011101110001100010110100110110000110100010101011011010010111001011110111,20,6,0
63,01101101000000110011100010101100111111110100111000101001001010011001001010101111,20,6,0
64,00001000001000100011110100000100111101111010101110001101001110111001101111100111,20,6,0
65,01000111011001100011111001101111011001101100011100100101111111100010111011000111,20,6,0
66,01010111010000110111010000001110001101100010001110110000110111100010011111100011,20,6,0
67,01100111000111111111011001101010001001101110000110000110100010011010110111001111,20,6,0
68,01000111001011111110110001001110001001010110011110100100110110010000011011100111,20,6,0
69,01100111001111011110111001101100011011100110001110000000101101000000111011100011,20,6,0
70,01100111000011111100000101101100000111110111011100100100111111110000011110100111,20,6,0
71,01100011000011011010110011101110001011101110001110000101011111011000110011001011,20,6,0
72,01100111001111111000010011101110000010100110101010100100111011000000011011110111,20,6,0
73,01100111000011111111101001101100011111100100101001100100001011001000011010101011,20,6,0
74,00100111000000101110111101101100001001101010101010000101101110100000111111100011,20,6,0
75,10111100010000010110000000000100101100110010100010110010010010111011010111101011,20,6,0
76,10101100100111111110010001001010101100011110100110010110000000011111110110101011,20,6,0
77,10101001101011111110000001000110101100010010100111010100000100011001010010101100,20,6,0
78,10101100101111011110101001010100001110110010100010010000000000011101110110101000,20,6,0
79,10101110100011111100000101000000100110110011010110111110100110111101010100100010,20,6,0
80,10101001100011011010000011110110101110111110100010010100000110011101110110001010,20,6,0
81,10101100001111111000000011010110000110100010100010110110000000011101010010110110,20,6,0
82,10101100100011111111101001001100001110110000100011110100000010011001010110101000,20,6,0
83,10101100100000111100001101000000101100111010100010010111001110111101110110100010,20,6,0
84,10101110100111101100111111111011001011011101100101001111101000011111100100001100,20,6,0
85,10100011101111101100100101011011101001010100110101001101001100011000100000001100,20,6,0
86,11101100101111001100101101110000010011010111110101000000001100011100101000111000,20,6,0
87,10101010100111101100101111101001100110010101010101101111101110011101110100000100,20,6,0
88,11100011100111011000100111111011100010011100110101001101001110011101110000011110,20,6,0
89,10101110101111111000100111110011000010000100100000001111001000010100100010010100,20,6,0
90,10100111100011101101101011101001011111010101110001001101001010011000100010011000,20,6,0
91,10101000100111101000101101100000100010011101100011001101101100001101100000000000,20,6,0
92,00010011101001110000100001000100100101010000111011101000010101000000011010110100,20,6,0
93,01100101111111001000101001110100010010100011011010100000001101000000111011110000,20,6,0
94,01111010100011100100100111100100110110110011011100101100111111100101011100110000,20,6,0
95,01100011110001011000100010110101100110110100011010001101011111101101011011011010,20,6,0
96,10011010011101011000100010110100010010100000101000100100011011000100011011110100,20,6,0
97,00100011110010101001101010100100010110110001111001100101001111000000001010111000,20,6,0
98,00001001110000100000101100100100110110101010101010000101001110100001011011100000,20,6,0
99,11101100011110001011101000110100010010100011000010010000101001100111101111111011,20,6,0
100,11101110000010001101001110101001110110100011011100101110101011100111110100000011,20,6,0
101,11101001010011011011100010111101010010101101001000000111011011111111110111011011,20,6,0
102,11111100011110011001000010110111010010100001101000100111011011000111100111110111,20,6,0
103,11101100110010001001101010101000010110100001101001100111001011101110001110011011,20,6,0
104,10101100010000101001101100100000110010101011101010000111101010101111100101100011,20,6,0
105,10111010000011110100000111101001100110011001011101101111110111111111010100000110,20,6,0
106,10010011010001010000000010101011100110011100001001001111010110111111010101011111,20,6,0
107,10011010010001110000000010100011100010001000101000101111010010010110010011010110,20,6,0
108,10110011110010110001100010101001111111010000111001101111011010011010000110011111,20,6,0
109,10011010000000100001010110100001101100001000101011001111111110101111000101000111,20,6,0
110,01000001010101011011110010111111001001001100101010000001011100011001110011011011,20,6,0
111,10011100011100011001010010110111000010001000100010000011011000000010100011110110,20,6,0
112,10000101110000011011101000111110011001000100101011000001001000001000001011111001,20,6,0
113,10000101011100100011111000000110001001101010101010000101001100101001100011100011,20,6,0
114,10011100001100110101001100010010010010000011100000100010111001000010001010110100,20,6,0
115,10110100100010100101101001001000011111100001110001100000101001000000001110101000,20,6,0
116,10011100001000100101111100000000111101101011100011100111101100100000101100100000,20,6,0
117,01100011100010101111101001001000011101110101011101101001001111101000001110001001,20,6,0
118,00100001100000100111111100000000111101111011111111001101101110101001100100000001,20,6,0
119,10011000001100100000010100000010100000101010100110001111111100100111110101100110,20,6,0
0,11110011111010101000010010010000000001111001100000111000100001101110010011000011,6,13,1
1,11000110101000001000010101010101110101100110001010000001100010111010000011001001,6,13,1
2,11100111100010101000010001010101010100101111001010001001010010111110101000000010,6,13,1
3,11110101101000101000010100010100100100111110100000000111000001100110010011110000,6,13,1
4,11110000101110101000010100110101111101111111001010010110110000111000001000001001,6,13,1
5,11010101101000001000010111110101100101101110010110010001100100100010000011100010,6,13,1
6,11010101101000101001011101000101100101111001001010000111000010111110010010000001,6,13,1
7,11110101001000101000110100010101010100101111101010001000010010111110110010000000,6,13,1
8,10011000101000101000011110110101110100100101001010000011100000111110100011101010,6,13,1
9,11100100111000100000010110110001110001100001101000101001000010100110100010000010,6,13,1
10,11011000111010101000010101110000110001101110100000100000110100110110010011000011,6,13,1
11,11100001101000101000010000010110110000100111101010000000010000011110110010000011,6,13,1
12,10010000101010101000000101010101110100100010101110000000100011110011010011000000,6,13,1
13,11010101100011101000011010110101100100110010110010010100100001111111110010011001,6,13,1
14,11010010110010001000011001010001100101100110100010010010100010100100100001000010,6,13,1
15,11000100000100010011100101010101110101000110011110000111011110110000000110001100,6,13,1
16,10100111000000010001100101000101111100001110011110000111011010110001101000111110,6,13,1
17,01101101000101100101100101011111111100000110010010000111011011100010010100110100,6,13,1
18,10111000000111010110110101111101111100011110011110010111111100110001001000101100,6,13,1
19,00001100001100010111100101110111111111001110011110010111011110110011101000101100,6,13,1
20,11001101101101110101101101000101111111001000001110000111010110110000001110001100,6,13,1
21,11100101000101010100100101010111011100000110011110001110011010110001110110100100,6,13,1
22,10001000000000100111101111110111111100000101011110000111000000110100100100101100,6,13,1
23,11100100111001000011100111111001110101000010011100001111001010110001100110001110,6,13,1
24,11001000110111010100000101110011111101001110000000100111111100110000110000110100,6,13,1
25,01101101100101010100100001110111111100000110011110000100011100010101100000001110,6,13,1
26,10001000000101110101100101011101111100000010011110000110011111110001110110010100,6,13,1
27,11001101100011010111101110110101111100000010010010010111101001110001101000111100,6,13,1
28,01000100010000000111101001111011111101100110000010000110001010100000100100111100,6,13,1
29,10110011100011110000110001101100011100001111011001111110011001001101111000110010,6,13,1
30,00111001001011100100101110111110001000011000100001111111001001000110011100110010,6,13,1
31,00111001100111110110010010101110111000111011011001010110110001001101001000100110,6,13,1
32,00011001101011110110101110111010001010101101010101111111011101000111111000100010,6,13,1
33,11011001101101110101111010001010101010011001001000111111010001001110011110000110,6,13,1
34,10110001001011110100101010110010011100101001111001011010011000001101111010100000,6,13,1
35,00111001110011100100101110111011011100001001011001110110000001001100101000100010,6,13,1
36,00110001111001100010110110111000111000000001111001111101001001000101100110000010,6,13,1
37,01011001111111110100011111111010111000101101100001110010111101000101111000110110,6,13,1
38,01111001100011110100110010111010011000101001101000111100011001001111111000000010,6,13,1
39,10011001100011111101100111011000011100101011111100110010001001000101111110110110,6,13,1
40,11011001100011100110111010111001001100110000110001111110101001101101111000110111,6,13,1
41,00010001110011100111011011111011101100101000100011111010001000000100100000110110,6,13,1
42,01111000011101101100101110011110101000010000100001000111000101100110010111110100,6,13,1
43,00111000101111001110010110111010101001110010110101010110100100101001001010001101,6,13,1
44,00011100101100001110001110110011100011100000010101110101100101100011000011101100,6,13,1
45,11011001101101101111001110000010100011011000000110000111000111011110010110000101,6,13,1
46,11110001011101000100101110010010001100100000110011011010110100001011110111000101,6,13,1
47,00011000111100101110001110111011100011010001110001100011100101111100100111101100,6,13,1
48,01111000111101000110001110111010100001110000110101101001000101100111100110001001,6,13,1
49,01011000111111000100001111110010100001101000100001100010100101100000010011010101,6,13,1
50,01011000111101000100001010110010101000100000100110000000000101001111110010000101,6,13,1
51,00011000101101101111001110011000101001110000100110000000100101100001010111010100,6,13,1
52,01011000100111101110001010110001100000110000110001110110100101111001010011011101,6,13,1
53,01010000110110001111001011111011100001110000100011110010100110100000100111011100,6,13,1
54,10111000100110010110010001100001111001111111011110010010110100111001101000001101,6,13,1
55,00000100101100010010000111100011110111101101011110111000110110011011101000001110,6,13,1
56,11000101101100010111011011000001110011111001001110111110010110011000101110001101,6,13,1
57,11110101001000010110110001010011011100100111011110011000110110011001111010001101,6,13,1
58,10001000110000011110011010100011010111000101011110110010100000111100101000101011,6,13,1
59,11000110111000010011010111100001110001100001111100111000100010111001100110001011,6,13,1
60,11001000111110010110010111110001110001101101001000110000111100110001111010001111,6,13,1
61,01001001100000010110010010110011110001100111101110001000110100011101101010001111,6,13,1
62,10000000100010011011000101010001011101100011011110110000111110011001101010001101,6,13,1
63,11001010100011010110011010110001100100110000010110111100100000111001101000011101,6,13,1
64,01000010110010000111011011110001110101100110001011111010100010111000100000001110,6,13,1
65,00000111011000010011101111110011000111000100010111101001001111000110110111100010,6,13,1
66,11000111101000110101101011000011000111001000001010101111000011010110110111000010,6,13,1
67,11100101011000000001101011010010000110100000110011101000011010010111110111100000,6,13,1
68,10001011011000101001101110110011000110000101011000101011000001110110110111101010,6,13,1
69,11000111111000000011101110111000100001000000111001101001001011000111110111010010,6,13,1
70,11001011111000010101001111110010010001001100100000101000001101010110110111110010,6,13,1
71,01001111111001010100101010010010000000000100100110101000001011010111110110010010,6,13,1
72,10000011101001111001101101011000000100000000100110101000001011010011110111010010,6,13,1
73,11001111100001100101101010110001000100000000110011101100001001110111110111111011,6,13,1
74,01000111010000000111001011011011100101100100100011101010001010000100110111010010,6,13,1
75,11100011101101100101111000000100101011011001101010001110000010011100010110010101,6,13,1
76,11110001010001100100110000010000011100110011101011001010010010011101110110010001,6,13,1
77,10101000110001101101111010001101010100010001101000000010000000111100100110111001,6,13,1
78,11100010111001100011110010101000110001010001101001101001000010100101100110011011,6,13,1
79,11001010110111100100010101110000111001011100100000100010111100110100010011010111,6,13,1
80,11101011110001100100110000011110111000010011101010001000010000011101110010010011,6,13,1
81,10000010100011101001100001011000011100110010101110000000001011010001010110010101,6,13,1
82,11101011100011100100111010011001100100010000110000101110100001111101110100011101,6,13,1
83,11100010110011100111011001011001100101110010100011001010000010100100100101011100,6,13,1
84,10110100010011000000100000110010011100100111110011011000111000100001110011100000,6,13,1
85,00101000010010001010101110111011010100000111110001110000101000101101100001101010,6,13,1
86,00100110110000000010110110111000110000100010110001111001101001100001100000011010,6,13,1
87,00001000110110000100000111110010111000100110100001110000111101100001110001110110,6,13,1
88,00101010110011000000100000111010011000100110110111000000111001000101110000010011,6,13,1
89,00001010010011001010000101111000011100100110110111010000101001100001110011110010,6,13,1
90,00001010100011001010001010111001000100100010110001110000101001100001110001111101,6,13,1
91,00100010010010001010001001111011110100100110100011111010101000100001100001111010,6,13,1
92,00001010110010101011011110101111110011010101011100100111100001111100101001111010,6,13,1
93,00001110111000000011010110101000110001010000101100100101001001100100000100011011,6,13,1
94,01001010110110010100010111101000110001001100000000100111101101110000010001011111,6,13,1
95,01001010100011010110010010101110100001010100100100100100001101011111001000011111,6,13,1
96,00001010100011111011000101001100111001010010000100100100101101100001000101010110,6,13,1
97,01001010100011101111011010101101100000010000010000110111100001111001001001011111,6,13,1
98,00000010110010001111011011101001100001110100000011110111101010100000100101011110,6,13,1
99,01100110111101010011010101101000100001110010101101111101001111000011010110010011,6,13,1
100,11000011111111010100010101110000111001101110100000110000111101000001010011010111,6,13,1
101,01100111100101010100010001010110101000101010100110001000011111000011010010010111,6,13,1
102,11000010100111111001000101011000011101101010100110010000011111000001010110010100,6,13,1
103,11000111100111010110010010010001101100110010110011111100101111100001011000010101,6,13,1
104,01000110110111000111010001011001101101101110100011011010001010000001110101010100,6,13,1
105,11011001100111011100001101010110011001101110000010110010111100110000011001110101,6,13,1
106,01001001000111111100101000010110001010101111100110000000111100011111011000100111,6,13,1
107,10011000000111111101001001010100011110101110000110010010111101010001011011110100,6,13,1
108,11011001100011111100001010010101001110110010010010010110100001111001011001111101,6,13,1
109,00010010010010001101001001010111001111101110000011010010111010100000111001110100,6,13,1
110,01100111000001111010110000001110001110010011111110001100000010001111101110001011,6,13,1
111,10000010000001111011100000011101001110110011011110001000001011001001000110000000,6,13,1
112,10110111000011101011101010011101000110110000010111011111000011111001101100011001,6,13,1
113,00100110010000001011101001001011100110110010000111011010000010001100100101001000,6,13,1
114,10010000000011101011001101011001011101110010010100110010101011100001010111110100,6,13,1
115,10010110100011101011001110111001100110110000010001110111100001110001011101111101,6,13,1
116,00010010010010001011001001011001100101111110000011111011101010100000100101111100,6,13,1
117,11111111100011000110111010100001100010010000010001111111100000111110101000111101,6,13,1
118,01110111010010000110011011101011100001111100000011111011100010100100100001101010,6,13,1
119,00100010010100000111010001001011111101101110001011001010011010000100100101000010,6,13,1
