EVAL6_REP1,EVAL6_REP13,EVAL11_REP1,EVAL18_REP1,EVAL20_REP1,EVAL20_REP4_short,EVAL22_REP1,EVAL24_REP1_short
0.943875,0.98,0.951375,0.945375,0.9405,0.9763888888888889,0.94775,0.965625
0.93175,0.993875,0.954125,0.9485,0.959625,0.9833333333333333,0.948625,0.971875
0.9219999999999999,0.9555,0.93,0.92225,0.9265,0.9555555555555556,0.9027499999999999,0.93125
0.944625,0.975,0.92025,0.9045,0.94475,0.9708333333333333,0.91225,0.95
0.907625,0.96325,0.927,0.9359999999999999,0.9293750000000001,0.9625,0.923625,0.934375
0.9165,0.967375,0.901625,0.878625,0.913625,0.9513888888888888,0.9135,0.9421875
0.946,0.969375,0.975375,0.939125,0.9375,0.9541666666666667,0.965,0.9578125
0.9505,0.95825,0.93025,0.95675,0.93825,0.9541666666666667,0.93775,0.9609375
0.922875,0.9675,0.92,0.911625,0.9177500000000001,0.95,0.960625,0.9625
0.941875,0.976625,0.942,0.931,0.954125,0.9680555555555556,0.9375,0.9359375
0.95225,0.989,0.946375,0.94325,0.954125,0.9694444444444444,0.957375,0.96875
0.932625,0.973625,0.930625,0.942,0.9705,0.9430555555555555,0.9259999999999999,0.9359375
0.929875,0.982625,0.916,0.9435,0.953625,0.9694444444444444,0.953375,0.9515625
0.926625,0.976625,0.9199999999999999,0.929,0.9035,0.9486111111111111,0.913125,0.9328125
0.93175,0.984875,0.927,0.940625,0.9456249999999999,0.9569444444444445,0.9470000000000001,0.9828125
0.95875,0.96575,0.944875,0.938375,0.94975,0.9472222222222222,0.9233750000000001,0.9703125
0.95575,0.989375,0.96175,0.948125,0.922875,0.9527777777777777,0.93125,0.9671875
0.9055,0.96875,0.948,0.901625,0.9157500000000001,0.9541666666666667,0.920625,0.91875
0.948125,0.983,0.954,0.953125,0.956,0.9736111111111111,0.92575,0.94375
0.929875,0.971625,0.911375,0.909875,0.9575,0.9416666666666667,0.958625,0.9375
0.958375,0.982,0.958875,0.96075,0.97675,0.975,0.95,0.94375
0.94575,0.985125,0.955375,0.952125,0.95675,0.9375,0.922875,0.95
0.924625,0.9645,0.93825,0.94225,0.9375,0.9666666666666667,0.95075,0.940625
0.89575,0.952,0.923625,0.921125,0.950125,0.9361111111111111,0.91575,0.9296875
0.94875,0.956125,0.938125,0.900375,0.907875,0.9305555555555556,0.950625,0.9515625
0.942375,0.976375,0.96875,0.9445,0.9325,0.9277777777777778,0.94525,0.9484375
0.97425,0.9925,0.942375,0.973125,0.956375,0.9666666666666667,0.976,0.9765625
0.95175,0.98175,0.978625,0.949875,0.9295,0.9680555555555556,0.95625,0.95625
0.929125,0.967375,0.93725,0.93175,0.921375,0.9569444444444445,0.975625,0.9671875
0.930375,0.96575,0.94475,0.9097500000000001,0.942,0.9569444444444445,0.94725,0.95
0.94875,0.996125,0.93875,0.947,0.959875,0.9291666666666667,0.934875,0.9765625
0.932125,0.973,0.9259999999999999,0.959125,0.950375,0.95,0.8885,0.91875
0.909875,0.95625,0.9375,0.92275,0.946875,0.9583333333333334,0.917125,0.925
0.9255,0.989625,0.95175,0.927625,0.9315,0.9597222222222223,0.931875,0.9171875
0.940375,0.977375,0.9305,0.9063749999999999,0.954125,0.9791666666666666,0.936625,0.9703125
0.8955,0.97825,0.94675,0.9255,0.9485,0.9527777777777778,0.91925,0.9390625
0.949875,0.964625,0.947625,0.92175,0.920625,0.9638888888888889,0.94475,0.959375
0.9305,0.991125,0.955375,0.92725,0.95825,0.9513888888888888,0.92975,0.95
0.95625,0.9505,0.924375,0.906375,0.935875,0.9430555555555555,0.8935,0.925
0.90625,0.9725,0.896875,0.889125,0.917125,0.9527777777777777,0.894625,0.934375
0.923875,0.963125,0.944375,0.978625,0.93125,0.9416666666666667,0.921,0.9484375
0.9137500000000001,0.97475,0.904875,0.912625,0.9259999999999999,0.9513888888888888,0.908,0.940625
0.956125,0.99625,0.94275,0.970125,0.94875,0.975,0.939125,0.9578125
0.936625,0.97675,0.927125,0.95075,0.922625,0.9513888888888888,0.93725,0.9421875
0.961,0.99325,0.965,0.94025,0.963,0.9666666666666667,0.908375,0.9671875
0.943375,0.980875,0.9265,0.918,0.958,0.9666666666666667,0.94525,0.9609375
0.911625,0.9259999999999999,0.927625,0.93025,0.926375,0.9555555555555556,0.92375,0.9296875
0.949,0.959875,0.931875,0.923625,0.94675,0.95,0.93475,0.9390625
0.952125,0.984125,0.950125,0.933625,0.95175,0.9319444444444445,0.9390000000000001,0.9546875
0.963875,0.972125,0.9405,0.9586250000000001,0.96525,0.9527777777777777,0.944,0.95
0.92875,0.9685,0.9075,0.9205,0.95325,0.9277777777777778,0.9555,0.934375
0.953875,0.982875,0.922875,0.9445,0.95975,0.9527777777777777,0.9265,0.953125
0.9635,0.974625,0.94875,0.9435,0.94925,0.9680555555555556,0.948125,0.9609375
0.9556250000000001,0.98,0.942125,0.9470000000000001,0.964625,0.9597222222222223,0.94025,0.9515625
0.958,0.976375,0.966125,0.935375,0.9595,0.9833333333333333,0.965125,0.971875
0.9061250000000001,0.97675,0.96925,0.93075,0.947,0.9569444444444445,0.952875,0.946875
0.952,0.962625,0.948375,0.946,0.955375,0.9597222222222223,0.93675,0.959375
0.9195,0.977125,0.9335,0.8871249999999999,0.911125,0.9666666666666667,0.918875,0.9375
0.931125,0.9495,0.9586250000000001,0.935875,0.965375,0.9625,0.961375,0.9703125
0.9545,0.978125,0.93825,0.92825,0.951875,0.9763888888888889,0.943875,0.9203125
0.943625,0.983125,0.9356249999999999,0.9405,0.953625,0.9513888888888888,0.9313750000000001,0.9484375
0.9075,0.98475,0.918,0.93075,0.927,0.9569444444444445,0.92075,0.9484375
0.950375,0.97975,0.934625,0.9415,0.9415,0.9819444444444444,0.942875,0.9609375
0.952375,0.982125,0.96275,0.957125,0.957375,0.9583333333333334,0.975,0.9453125
0.93,0.9775,0.91675,0.918625,0.932125,0.9333333333333333,0.923,0.9359375
0.95625,0.977,0.945375,0.886625,0.9335,0.9694444444444444,0.933875,0.9421875
0.94625,0.979875,0.9565,0.947125,0.963,0.9611111111111111,0.950375,0.953125
0.9065,0.964125,0.95375,0.93225,0.9415,0.9541666666666667,0.945625,0.946875
0.942625,0.955375,0.88475,0.922875,0.94675,0.9388888888888889,0.933875,0.940625
0.958875,0.988,0.966125,0.959125,0.97275,0.9513888888888888,0.962125,0.975
0.9245,0.98125,0.948125,0.9373750000000001,0.934625,0.9486111111111111,0.92725,0.9609375
0.924,0.9586250000000001,0.9345,0.946875,0.95875,0.9569444444444445,0.93925,0.94375
0.93775,0.972,0.942625,0.95475,0.9275,0.9291666666666667,0.938125,0.9390625
0.914125,0.974375,0.9319999999999999,0.9185,0.927,0.9555555555555556,0.943,0.921875
0.9655,0.978875,0.98425,0.948875,0.964125,0.9680555555555556,0.976375,0.9578125
0.944125,0.982375,0.95575,0.92175,0.93325,0.9736111111111111,0.92475,0.9015625
0.961125,0.992875,0.9535,0.973875,0.95825,0.95,0.92825,0.9875
0.905875,0.9715,0.91625,0.908125,0.897,0.95,0.90825,0.9265625
0.94625,0.97625,0.919375,0.95,0.935,0.9638888888888889,0.95175,0.93125
0.951,0.96475,0.925125,0.9115,0.936125,0.9458333333333333,0.91575,0.9234375
0.9765,0.9875,0.952375,0.96,0.959625,0.9930555555555556,0.95275,0.971875
0.950375,0.964125,0.960625,0.955875,0.9450000000000001,0.9430555555555555,0.9395,0.94375
0.891625,0.960375,0.89625,0.92,0.9373750000000001,0.9513888888888888,0.903625,0.9234375
0.926,0.987375,0.9435,0.9233750000000001,0.945375,0.9486111111111111,0.9135,0.940625
0.931125,0.986875,0.948,0.90875,0.92825,0.9486111111111111,0.9005000000000001,0.95625
0.94175,0.963875,0.960625,0.9293750000000001,0.95025,0.9486111111111111,0.95525,0.9265625
0.974375,0.99075,0.950125,0.9315,0.947625,0.9819444444444444,0.969125,0.9546875
0.936375,0.97925,0.9285,0.90875,0.93675,0.9666666666666667,0.91675,0.9390625
0.9185,0.96875,0.914625,0.9225,0.929625,0.9472222222222222,0.91875,0.9328125
0.92875,0.961875,0.96275,0.94175,0.9565,0.9805555555555555,0.935125,0.946875
0.953125,0.984125,0.942,0.932875,0.93925,0.9541666666666666,0.9359999999999999,0.975
0.956375,0.977875,0.9725,0.9315,0.96825,0.9791666666666666,0.95525,0.9640625
0.944,0.988,0.94375,0.949125,0.936125,0.9722222222222222,0.94075,0.9328125
0.93675,0.973875,0.9299999999999999,0.912625,0.92125,0.9722222222222222,0.93425,0.9265625
0.94875,0.971,0.9595,0.96225,0.96775,0.9569444444444445,0.9275,0.9421875
0.85325,0.964875,0.9095,0.9095,0.915,0.9513888888888888,0.9155,0.9
0.945125,0.9725,0.9325,0.96225,0.95225,0.9777777777777777,0.952375,0.975
0.959625,0.975375,0.95625,0.957125,0.9685,0.9625,0.926125,0.946875
0.93725,0.981,0.955125,0.921,0.935875,0.9666666666666667,0.915625,0.9671875
0.948875,0.9565,0.94775,0.921,0.924625,0.9625,0.908625,0.9375
0.922125,0.977,0.9235,0.9319999999999999,0.937,0.9680555555555556,0.92625,0.9484375
0.959125,0.976,0.94625,0.94975,0.9605,0.9638888888888889,0.933875,0.9640625
0.94775,0.9815,0.9485,0.949125,0.921125,0.9694444444444444,0.921375,0.940625
0.886875,0.975125,0.9037499999999999,0.890625,0.93925,0.9694444444444444,0.92875,0.9546875
0.94325,0.952625,0.94025,0.953625,0.94125,0.9694444444444444,0.9445,0.9515625
0.93425,0.97325,0.9345,0.9273750000000001,0.932875,0.9638888888888889,0.934375,0.9609375
0.939,0.959625,0.95375,0.92625,0.911,0.9763888888888889,0.905375,0.9328125
0.947625,0.99425,0.947125,0.975375,0.9476249999999999,0.975,0.954125,0.9328125
0.967625,0.991625,0.958875,0.940375,0.9279999999999999,0.9666666666666667,0.976125,0.9671875
0.922125,0.962625,0.915375,0.91075,0.934875,0.9430555555555555,0.9355,0.940625
0.9325,0.98525,0.91125,0.9273750000000001,0.94525,0.9388888888888889,0.916875,0.9
0.9455,0.940625,0.9255,0.9420000000000001,0.936375,0.9291666666666667,0.924,0.9484375
0.9356249999999999,0.9625,0.924125,0.931125,0.95025,0.9458333333333333,0.938125,0.953125
0.936375,0.964375,0.935125,0.946,0.950375,0.9458333333333333,0.922,0.9625
0.96425,0.95175,0.95075,0.927125,0.92275,0.9472222222222222,0.9565,0.9625
0.9333750000000001,0.98325,0.926875,0.9193749999999999,0.953125,0.9555555555555556,0.9380000000000001,0.946875
0.959375,0.956625,0.9380000000000001,0.939125,0.942125,0.9638888888888889,0.945375,0.95
0.951625,0.962125,0.95875,0.96375,0.95225,0.9569444444444445,0.95575,0.978125
0.936125,0.97225,0.940625,0.92475,0.9546250000000001,0.9486111111111111,0.9345,0.971875
0.9435,0.981,0.9435,0.919625,0.947625,0.9555555555555556,0.936375,0.9328125
